Estados do Brasil
UF [-],C&oacute;digo [-],Gent&iacute;lico [-],Governador [2019],Capital [2010],&Aacute;rea Territorial - km&sup2; [2020],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Matrículas no ensino fundamental - matr&iacute;culas [2020],IDH &lt;span&gt;Índice de desenvolvimento humano&lt;/span&gt; [2010],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],Rendimento mensal domiciliar per capita - R$ [2020],Total de ve&iacute;culos - ve&iacute;culos [2020],
Acre,12,acriano,GLADSON DE LIMA CAMELI,Rio Branco,164173.431,906876,4.47,156679,0.663,6632883.10836,6084416.8063,917,306258,
Alagoas,27,alagoano,JOSE RENAN VASCONCELOS CALHEIROS FILHO,Macei&oacute;,27830.656,3365351,112.33,464704,0.631,11950438.46015,10460634.91711,796,930933,
Amap&aacute;,16,amapaense,ANTONIO WALDEZ G&Oacute;ES DA SILVA,Macap&aacute;,142470.762,877613,4.69,134820,0.708,5396417.14471,4224464.08829,893,215330,
Amazonas,13,amazonense,WILSON MIRANDA LIMA,Manaus,1559167.878,4269995,2.23,700104,0.674,17328459.43402,15324896.55705,852,969722,
Bahia,29,baiano,RUI COSTA DOS SANTOS,Salvador,564760.427,14985284,24.82,1947177,0.660,50191003.24052,45570160.0038,965,4506825,
Cear&aacute;,23,cearense,CAMILO SOBREIRA DE SANTANA,Fortaleza,148894.442,9240580,56.76,1165368,0.682,28420222.47191,24608352.18276,1028,3395382,
Distrito Federal,53,brasiliense,IBANEIS ROCHA BARROS JUNIOR,Bras&iacute;lia,5760.784,3094325,444.66,373032,0.824,23812211.27074,21990464.6849,2475,1934210,
Esp&iacute;rito Santo,32,capixaba ou esp&iacute;rito-santense,JOSE RENATO CASAGRANDE,Vit&oacute;ria,46074.447,4108508,76.25,501920,0.740,19685616.74376,14392338.00188,1347,2078459,
Goi&aacute;s,52,goiano,RONALDO RAMOS CAIADO,Goi&acirc;nia,340242.854,7206589,17.65,861291,0.735,37885335.16848,24248380.34233,1258,4203370,
Maranh&atilde;o,21,maranhense,FL&Aacute;VIO DINO DE CASTRO E COSTA,S&atilde;o Lu&iacute;s,329651.495,7153262,19.81,1123973,0.639,18503261.35491,17627170.75574,676,1855570,
Mato Grosso,51,mato-grossense,MAURO MENDES FERREIRA,Cuiab&aacute;,903207.050,3567234,3.36,477717,0.725,23958528.83588,18187363.27009,1401,2322156,
Mato Grosso do Sul,50,sul-mato-grossense ou mato-grossense-do-sul,REINALDO AZAMBUJA SILVA,Campo Grande,357147.994,2839188,6.86,392015,0.729,16396655.77012,14506915.37404,1488,1707671,
Minas Gerais,31,mineiro,ROMEU ZEMA NETO,Belo Horizonte,586513.993,21411923,33.41,2462047,0.731,97199823.15616,98391669.16323,1314,12053218,
Par&aacute;,15,paraense,HELDER ZAHLUTH BARBALHO,Bel&eacute;m,1245870.707,8777124,6.07,1394011,0.646,25849446.10454,22533470.04547,883,2229234,
Para&iacute;ba,25,paraibano,JO&Atilde;O AZEVEDO LINS FILHO,Jo&atilde;o Pessoa,56467.242,4059905,66.70,538748,0.658,13097005.31928,10074700.04266,892,1409592,
Paran&aacute;,41,paranaense,CARLOS ROBERTO MASSA JUNIOR,Curitiba,199298.982,11597484,52.40,1407978,0.749,60163576.12246,55534402.97483,1508,8077413,
Pernambuco,26,pernambucano,PAULO HENRIQUE SARAIVA C&Acirc;MARA,Recife,98067.880,9674793,89.62,1267292,0.673,35746028.97102,33320486.44445,897,3223404,
Piau&iacute;,22,piauiense,JOS&Eacute; WELLINGTON BARROSO DE ARA&Uacute;JO DIAS,Teresina,251755.485,3289290,12.40,458077,0.646,12124215.61511,9676736.31835,859,1291415,
Rio de Janeiro,33,fluminense,CL&Aacute;UDIO BOMFIM DE CASTRO E SILVA,Rio de Janeiro,43750.426,17463349,365.23,1967998,0.761,78488140.78862,67965548.69757,1723,7087797,
Rio Grande do Norte,24,potiguar ou  norte-rio-grandense ou  rio-grandense-do-norte,MARIA DE FATIMA BEZERRA,Natal,52809.601,3560903,59.99,448764,0.684,13527552.73159,11330957.55333,1077,1391338,
Rio Grande do Sul,43,ga&uacute;cho ou sul-rio-grandense,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,Porto Alegre,281707.149,11466630,37.96,1269309,0.746,66397468.17915,62476279.34364,1759,7495615,
Rond&ocirc;nia,11,rondoniense ou rondoniano,MARCOS JOSE ROCHA DOS SANTOS,Porto Velho,237765.347,1815278,6.58,252638,0.690,9122310.72305,7085530.0168,1169,1070952,
Roraima,14,roraimense,ANTONIO OLIVERIO GARCIA DE ALMEIDA,Boa Vista,223644.527,652713,2.01,104202,0.707,4266318.54785,3865094.27139,983,239393,
Santa Catarina,42,catarinense ou barriga-verde,CARLOS MOIS&Eacute;S DA SILVA,Florian&oacute;polis,95730.684,7338473,65.27,876392,0.774,34696772.82078,25595103.37918,1632,5583126,
S&atilde;o Paulo,35,paulista,JO&Atilde;O AGRIPINO DA COSTA DORIA JUNIOR,S&atilde;o Paulo,248219.481,46649132,166.23,5414208,0.783,232822496.56706,231982243.69176,1814,30778960,
Sergipe,28,sergipano ou sergipense,BELIVALDO CHAGAS SILVA,Aracaju,21938.184,2338474,94.36,322614,0.665,10145046.95355,8494927.19996,1028,836822,
Tocantins,17,tocantinense,MAURO CARLESSE,Palmas,277423.630,1607363,4.98,235752,0.699,10305099.01288,8929456.43836,1060,754206,
